epoch,acc,loss,val_acc,val_loss
13,0.495325,1.40796146259,0.5199,1.49736935883
14,0.501275,1.38998918228,0.5328,1.45976555882
15,0.512075,1.37014864941,0.5263,1.46009879093
16,0.51395,1.3544850214,0.5359,1.44824401283
17,0.5214,1.33665665264,0.5439,1.42724338665
18,0.52785,1.32463154087,0.541,1.42103177567
19,0.530175,1.31292714405,0.5361,1.42933717804
20,0.534625,1.30353197441,0.5594,1.37859794617
21,0.539875,1.29122465839,0.5657,1.36726138268
22,0.5424,1.27792345619,0.5518,1.38806715164
23,0.550575,1.26015649071,0.5544,1.37515533886
24,0.5521,1.25337505989,0.5773,1.3446425209
0,0.206075,2.13108867493,0.2898,2.08860461578
1,0.30005,1.94338688526,0.3515,1.98476952705
2,0.34375,1.84485831413,0.3817,1.901503302
3,0.3655,1.78017476463,0.4064,1.85590896454
4,0.38665,1.72209332829,0.4292,1.78827504349
5,0.404775,1.6700113945,0.4441,1.73422372665
6,0.420425,1.61556589432,0.4602,1.6834491972
7,0.4372,1.57118521824,0.4652,1.6449987793
8,0.450725,1.53129235134,0.4804,1.60981977272
9,0.4635,1.50334690666,0.4865,1.58290745602
10,0.46845,1.47654485416,0.488,1.55782701759
11,0.480375,1.44695700283,0.5032,1.52977875481
12,0.4866,1.42347681198,0.5134,1.50072462234
13,0.495175,1.40792561703,0.5162,1.50078105679
14,0.501625,1.38989916077,0.53,1.4605983326
15,0.510725,1.37005147762,0.5255,1.46267890205
16,0.515475,1.35426505013,0.533,1.4481044796
17,0.521225,1.33691219597,0.5414,1.43130618324
18,0.52705,1.3250314558,0.5392,1.42494997902
19,0.52975,1.31326756992,0.5384,1.42894487801
20,0.534025,1.30366713333,0.5559,1.38158264713
21,0.539675,1.29171981773,0.5622,1.37244827747
22,0.543025,1.27862048912,0.5529,1.3865734993
23,0.549925,1.26057929001,0.5542,1.37451520824
24,0.552375,1.25357524834,0.5769,1.34717210045
0,0.206125,2.13092571182,0.2868,2.09068125381
1,0.299875,1.94352954121,0.3535,1.9809360775
2,0.3449,1.84419430599,0.3818,1.8992782135
3,0.365,1.78000266705,0.4072,1.85612542076
4,0.3871,1.7203021719,0.4261,1.7895810463
5,0.405775,1.66971237659,0.4431,1.73459455566
6,0.4204,1.61501295547,0.4613,1.68117194538
7,0.43735,1.57090981121,0.4654,1.64818506374
8,0.45055,1.53136413937,0.4799,1.60846274567
9,0.463175,1.50252988167,0.4907,1.5839767292
10,0.470725,1.4759103426,0.4868,1.56010597
11,0.480175,1.4460089632,0.5025,1.5304895195
12,0.48595,1.42241658211,0.5122,1.50286272449
13,0.4951,1.40768705673,0.5167,1.50029713173
14,0.501,1.39013587952,0.5308,1.45958910713
15,0.51125,1.36961029282,0.5245,1.4622246109
16,0.5143,1.35365893364,0.5351,1.44882684078
17,0.521125,1.33614007874,0.5433,1.42863469505
18,0.5268,1.32505334492,0.5402,1.42272598381
19,0.53,1.31331884041,0.5353,1.42984048653
20,0.53415,1.30343655281,0.5555,1.38181584435
21,0.538775,1.29117080822,0.5639,1.36949879131
22,0.5431,1.27844024658,0.5515,1.38834823246
23,0.5493,1.26095039215,0.5606,1.36778742237
24,0.5518,1.25368710213,0.5784,1.34571409988
0,0.206075,2.13108867493,0.2898,2.08860461578
1,0.299975,1.94338664265,0.3531,1.98318416939
2,0.343975,1.84533231373,0.3824,1.90204175606
3,0.366475,1.78032637177,0.4051,1.85821836014
4,0.387,1.72197513599,0.4261,1.78768560867
5,0.404275,1.67044148197,0.4428,1.73431314087
6,0.420225,1.61578961449,0.4605,1.68306010094
7,0.436,1.57190643463,0.4655,1.64531633453
8,0.449325,1.53189291439,0.4804,1.60888677979
9,0.462375,1.5031121563,0.4881,1.58523027325
0,0.206075,2.13095698471,0.285,2.09050229721
1,0.30035,1.94392288551,0.3526,1.98263232498
2,0.34365,1.84569499474,0.3818,1.90257252884
3,0.36495,1.78107915554,0.404,1.85941706543
4,0.386675,1.72274376183,0.4237,1.79213105087
5,0.404325,1.67183629169,0.4426,1.73686082458
6,0.421375,1.61697244358,0.4624,1.68476148338
7,0.43665,1.57231002617,0.4661,1.64655962467
8,0.4501,1.53192408905,0.4787,1.61084739037
9,0.463425,1.50349981937,0.4879,1.58559207954
